"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2020","9,133.0","9,188.9","9,202.0","9,060.0","2.78K","-0.61%"
"Jun 29, 2020","9,188.9","9,114.9","9,240.4","9,014.9","4.94K","0.83%"
"Jun 28, 2020","9,113.4","9,009.3","9,191.7","8,933.1","3.23K","1.16%"
"Jun 27, 2020","9,009.3","9,158.3","9,189.0","8,831.1","4.40K","-1.63%"
"Jun 26, 2020","9,158.3","9,239.5","9,289.7","9,030.8","7.91K","-0.88%"
"Jun 25, 2020","9,239.5","9,286.1","9,343.5","8,989.0","8.72K","-0.58%"
"Jun 24, 2020","9,293.5","9,622.8","9,666.3","9,194.0","10.07K","-3.42%"
"Jun 23, 2020","9,622.8","9,683.1","9,725.3","9,571.0","4.87K","-0.71%"
"Jun 22, 2020","9,691.9","9,283.0","9,788.0","9,267.2","6.62K","4.40%"
"Jun 21, 2020","9,283.0","9,355.5","9,421.2","9,271.5","1.44K","-0.77%"
"Jun 20, 2020","9,355.5","9,299.4","9,400.0","9,165.9","3.07K","0.60%"
"Jun 19, 2020","9,299.4","9,374.8","9,428.5","9,226.0","5.33K","-0.80%"
"Jun 18, 2020","9,374.8","9,461.3","9,478.7","9,268.6","4.00K","-0.91%"
"Jun 17, 2020","9,461.3","9,522.8","9,558.5","9,238.8","5.90K","-0.65%"
"Jun 16, 2020","9,522.8","9,435.2","9,594.0","9,375.4","6.86K","0.93%"
"Jun 15, 2020","9,435.2","9,330.0","9,500.0","8,901.0","11.77K","1.13%"
"Jun 14, 2020","9,330.0","9,473.5","9,478.9","9,243.8","3.47K","-1.51%"
"Jun 13, 2020","9,473.5","9,463.1","9,500.0","9,353.7","2.94K","0.11%"
"Jun 12, 2020","9,463.1","9,264.3","9,551.0","9,230.0","6.96K","2.15%"
"Jun 11, 2020","9,264.3","9,894.3","9,972.8","9,085.3","16.39K","-6.37%"
"Jun 10, 2020","9,894.3","9,782.2","10,005.4","9,704.0","7.11K","1.15%"
"Jun 09, 2020","9,782.2","9,786.0","9,888.7","9,568.0","6.92K","-0.04%"
"Jun 08, 2020","9,786.0","9,750.0","9,811.4","9,648.3","5.38K","0.37%"
"Jun 07, 2020","9,750.0","9,669.8","9,815.1","9,356.0","6.76K","0.83%"
"Jun 06, 2020","9,669.8","9,620.0","9,738.5","9,527.2","4.05K","0.52%"
"Jun 05, 2020","9,620.0","9,791.9","9,856.5","9,595.3","7.16K","-1.76%"
"Jun 04, 2020","9,791.9","9,669.0","9,888.0","9,460.4","8.94K","1.27%"
"Jun 03, 2020","9,669.0","9,525.7","9,686.2","9,381.0","6.93K","1.50%"
"Jun 02, 2020","9,525.7","10,204.6","10,236.1","9,250.0","22.73K","-6.64%"
"Jun 01, 2020","10,203.1","9,446.3","10,407.3","9,416.5","12.11K","8.01%"
"May 31, 2020","9,446.3","9,702.5","9,711.7","9,380.9","5.70K","-2.69%"
"May 30, 2020","9,707.7","9,421.0","9,753.0","9,326.3","6.78K","3.04%"
"May 29, 2020","9,421.0","9,582.5","9,610.0","9,332.9","7.24K","-1.68%"
"May 28, 2020","9,582.5","9,206.9","9,625.0","9,105.8","11.52K","4.08%"
"May 27, 2020","9,206.9","8,840.9","9,228.2","8,811.0","6.87K","4.14%"
"May 26, 2020","8,840.9","8,903.6","9,012.0","8,690.2","5.92K","-0.70%"
"May 25, 2020","8,903.6","8,710.0","8,979.0","8,635.3","8.93K","2.22%"
"May 24, 2020","8,710.0","9,183.5","9,310.5","8,694.8","8.85K","-5.16%"
"May 23, 2020","9,183.5","9,172.0","9,316.1","9,085.6","3.48K","0.13%"
"May 22, 2020","9,172.0","9,062.5","9,273.0","8,924.9","7.26K","1.21%"
"May 21, 2020","9,062.5","9,516.5","9,572.4","8,800.0","16.88K","-4.77%"
"May 20, 2020","9,516.5","9,787.7","9,843.1","9,300.3","12.35K","-2.77%"
"May 19, 2020","9,787.7","9,721.9","9,903.9","9,459.2","12.15K","0.69%"
"May 18, 2020","9,720.4","9,665.7","9,959.0","9,456.9","12.36K","0.57%"
"May 17, 2020","9,665.7","9,389.1","9,892.5","9,329.6","9.52K","2.95%"
"May 16, 2020","9,389.1","9,306.2","9,590.0","9,216.7","6.17K","0.82%"
"May 15, 2020","9,312.9","9,793.5","9,844.7","9,134.9","17.32K","-4.91%"
"May 14, 2020","9,793.5","9,315.5","9,940.8","9,261.7","19.94K","5.13%"
"May 13, 2020","9,315.5","8,825.5","9,417.3","8,804.5","12.76K","5.65%"
"May 12, 2020","8,817.1","8,572.0","8,983.0","8,535.0","14.01K","2.91%"
"May 11, 2020","8,568.1","8,731.2","9,179.0","8,187.7","34.46K","-1.87%"
"May 10, 2020","8,731.2","9,546.6","9,565.2","8,109.0","31.64K","-8.54%"
"May 09, 2020","9,546.6","9,804.2","9,914.0","9,515.4","11.28K","-2.68%"
"May 08, 2020","9,810.0","10,000.0","10,048.4","9,725.1","19.26K","-1.90%"
"May 07, 2020","10,000.0","9,154.3","10,074.0","9,030.0","25.01K","9.21%"
"May 06, 2020","9,156.8","9,034.8","9,412.4","8,921.2","15.11K","1.35%"
"May 05, 2020","9,034.8","8,882.9","9,120.0","8,766.7","9.59K","1.71%"
"May 04, 2020","8,882.9","8,916.0","8,974.3","8,528.4","10.02K","-0.37%"
"May 03, 2020","8,916.0","8,983.8","9,207.3","8,723.8","9.22K","-0.75%"
"May 02, 2020","8,983.8","8,832.4","9,022.0","8,767.0","5.52K","1.71%"
"May 01, 2020","8,832.4","8,627.3","9,075.0","8,616.2","11.38K","2.24%"
"Apr 30, 2020","8,638.7","8,790.3","9,473.3","8,407.0","24.06K","-1.72%"
"Apr 29, 2020","8,790.3","7,767.8","8,970.0","7,717.1","26.40K","13.16%"
"Apr 28, 2020","7,767.8","7,786.4","8,314.2","7,666.2","7.25K","-0.24%"
"Apr 27, 2020","7,786.4","7,701.7","7,811.3","7,637.0","6.88K","1.10%"
"Apr 26, 2020","7,701.7","7,547.6","7,718.0","7,495.5","5.25K","2.04%"
"Apr 25, 2020","7,547.6","7,505.5","7,720.0","7,432.8","4.37K","0.56%"
"Apr 24, 2020","7,505.5","7,484.6","7,612.9","7,391.6","7.36K","0.28%"
"Apr 23, 2020","7,484.6","7,137.8","7,756.0","7,033.4","14.78K","4.86%"
"Apr 22, 2020","7,137.8","6,855.0","7,171.3","6,822.8","6.27K","4.13%"
"Apr 21, 2020","6,855.0","6,841.0","6,950.0","6,776.7","5.57K","0.15%"
"Apr 20, 2020","6,844.8","7,126.4","7,220.0","6,759.7","11.36K","-3.95%"
"Apr 19, 2020","7,126.4","7,262.3","7,276.2","7,059.3","4.66K","-1.75%"
"Apr 18, 2020","7,253.1","7,024.2","7,305.4","7,020.1","5.10K","3.17%"
"Apr 17, 2020","7,030.3","7,111.7","7,158.2","6,995.4","8.54K","-1.14%"
"Apr 16, 2020","7,111.7","6,619.0","7,224.2","6,478.1","15.73K","7.44%"
"Apr 15, 2020","6,619.0","6,879.8","6,940.0","6,598.5","8.11K","-3.79%"
"Apr 14, 2020","6,879.8","6,864.2","6,990.9","6,770.1","7.28K","0.23%"
"Apr 13, 2020","6,864.2","6,908.2","6,908.2","6,542.9","10.84K","-0.64%"
"Apr 12, 2020","6,908.3","6,883.2","7,201.8","6,791.2","7.26K","0.37%"
"Apr 11, 2020","6,882.6","6,877.0","6,955.6","6,771.2","3.33K","0.08%"
"Apr 10, 2020","6,877.0","7,293.9","7,306.1","6,750.1","10.73K","-5.72%"
"Apr 09, 2020","7,293.9","7,367.4","7,376.6","7,107.4","8.32K","-1.00%"
"Apr 08, 2020","7,367.4","7,202.7","7,427.0","7,152.0","8.72K","2.29%"
"Apr 07, 2020","7,202.7","7,352.4","7,469.0","7,077.0","11.67K","-2.04%"
"Apr 06, 2020","7,352.4","6,775.2","7,370.0","6,773.8","13.68K","8.52%"
"Apr 05, 2020","6,775.2","6,879.6","6,914.0","6,678.5","3.98K","-1.52%"
"Apr 04, 2020","6,879.6","6,742.6","7,012.7","6,655.5","6.02K","2.03%"
"Apr 03, 2020","6,742.6","6,802.0","7,048.0","6,610.0","10.57K","-0.87%"
"Apr 02, 2020","6,802.0","6,652.1","7,236.4","6,576.4","17.21K","2.25%"
"Apr 01, 2020","6,652.1","6,421.1","6,708.8","6,146.4","11.32K","3.60%"
"Mar 31, 2020","6,421.1","6,407.8","6,527.2","6,341.1","6.35K","0.36%"
"Mar 30, 2020","6,398.1","5,870.9","6,623.7","5,856.0","14.98K","8.98%"
"Mar 29, 2020","5,870.9","6,253.1","6,278.2","5,869.0","9.30K","-6.11%"
"Mar 28, 2020","6,253.1","6,376.0","6,376.0","6,030.5","11.61K","-1.96%"
"Mar 27, 2020","6,378.0","6,759.4","6,872.7","6,210.0","10.82K","-5.55%"
"Mar 26, 2020","6,752.6","6,692.2","6,798.9","6,528.1","7.39K","0.96%"
"Mar 25, 2020","6,688.7","6,768.6","6,981.4","6,457.2","16.68K","-1.18%"
"Mar 24, 2020","6,768.6","6,494.3","6,864.4","6,400.0","19.72K","4.22%"
"Mar 23, 2020","6,494.3","5,814.7","6,612.4","5,686.3","19.05K","11.69%"
"Mar 22, 2020","5,814.7","6,187.8","6,419.0","5,727.4","10.81K","-6.01%"
"Mar 21, 2020","6,186.2","6,202.2","6,461.9","5,866.4","11.80K","-0.26%"
"Mar 20, 2020","6,202.2","6,181.2","6,945.0","5,670.0","30.08K","0.34%"
"Mar 19, 2020","6,181.2","5,406.9","6,434.0","5,266.4","24.78K","14.32%"
"Mar 18, 2020","5,406.9","5,325.0","5,452.4","5,016.0","22.77K","1.54%"
"Mar 17, 2020","5,325.0","5,033.4","5,562.9","4,936.0","17.46K","5.79%"
"Mar 16, 2020","5,033.4","5,343.6","5,353.0","4,435.9","34.91K","-5.81%"
"Mar 15, 2020","5,343.6","5,169.4","5,965.8","5,092.3","16.59K","3.37%"
"Mar 14, 2020","5,169.4","5,629.1","5,663.0","5,051.0","15.37K","-8.39%"
"Mar 13, 2020","5,642.8","4,865.0","5,990.3","3,850.0","54.42K","14.96%"
"Mar 12, 2020","4,908.6","7,934.6","7,969.9","4,776.6","58.51K","-38.14%"
"Mar 11, 2020","7,934.6","7,882.1","7,988.8","7,592.0","7.29K","0.67%"
"Mar 10, 2020","7,882.1","7,936.3","8,158.4","7,737.1","8.27K","-0.68%"
"Mar 09, 2020","7,936.3","8,033.7","8,185.8","7,638.0","12.18K","-1.21%"
"Mar 08, 2020","8,033.7","8,893.9","8,901.1","7,998.1","9.07K","-9.67%"
"Mar 07, 2020","8,893.6","9,153.8","9,218.5","8,859.5","2.81K","-2.84%"
"Mar 06, 2020","9,153.8","9,066.7","9,187.8","8,990.0","4.14K","0.96%"
"Mar 05, 2020","9,066.7","8,753.3","9,167.7","8,753.3","6.45K","3.58%"
"Mar 04, 2020","8,753.3","8,755.5","8,850.0","8,663.8","3.35K","-0.02%"
"Mar 03, 2020","8,755.5","8,913.2","8,921.8","8,660.0","4.63K","-1.77%"
"Mar 02, 2020","8,913.2","8,529.0","8,980.3","8,486.7","6.19K","4.57%"
"Mar 01, 2020","8,524.0","8,530.1","8,756.1","8,411.1","4.16K","-0.07%"
"Feb 29, 2020","8,530.1","8,703.8","8,805.1","8,525.0","2.34K","-2.07%"
"Feb 28, 2020","8,710.0","8,816.5","8,900.8","8,421.5","6.55K","-1.21%"
"Feb 27, 2020","8,816.5","8,779.4","8,970.2","8,520.0","9.27K","0.42%"
"Feb 26, 2020","8,779.4","9,305.4","9,367.6","8,632.1","11.56K","-5.65%"
"Feb 25, 2020","9,305.4","9,664.9","9,680.0","9,234.2","6.28K","-3.60%"
"Feb 24, 2020","9,652.6","9,965.2","10,027.7","9,483.2","5.88K","-3.14%"
"Feb 23, 2020","9,965.2","9,668.1","10,021.3","9,664.1","3.33K","3.07%"
"Feb 22, 2020","9,668.1","9,696.1","9,722.4","9,568.5","2.10K","-0.29%"
"Feb 21, 2020","9,696.1","9,612.8","9,772.8","9,562.6","4.27K","0.96%"
"Feb 20, 2020","9,604.2","9,600.6","9,702.7","9,396.9","6.61K","0.04%"
"Feb 19, 2020","9,600.6","10,190.3","10,300.0","9,316.0","9.94K","-5.72%"
"Feb 18, 2020","10,183.1","9,697.2","10,288.0","9,602.7","6.75K","5.01%"
"Feb 17, 2020","9,697.2","9,912.9","9,969.7","9,467.6","5.91K","-2.18%"
"Feb 16, 2020","9,912.9","9,899.8","10,051.2","9,610.1","4.13K","0.13%"
"Feb 15, 2020","9,899.8","10,364.0","10,408.0","9,750.0","5.76K","-4.48%"
"Feb 14, 2020","10,364.0","10,228.7","10,398.0","10,093.3","6.19K","1.32%"
"Feb 13, 2020","10,228.7","10,348.8","10,500.5","10,068.0","9.35K","-1.16%"
"Feb 12, 2020","10,348.8","10,269.0","10,495.0","10,247.3","6.55K","0.68%"
"Feb 11, 2020","10,278.4","9,850.0","10,378.0","9,707.0","8.13K","4.35%"
"Feb 10, 2020","9,850.0","10,174.0","10,199.8","9,731.2","7.56K","-3.15%"
"Feb 09, 2020","10,170.0","9,902.0","10,178.5","9,885.0","4.83K","2.71%"
"Feb 08, 2020","9,902.0","9,803.4","9,949.0","9,658.6","3.27K","0.94%"
"Feb 07, 2020","9,809.9","9,754.6","9,878.0","9,706.9","4.01K","0.57%"
"Feb 06, 2020","9,754.6","9,622.7","9,859.6","9,521.0","7.55K","1.42%"
"Feb 05, 2020","9,618.4","9,159.4","9,775.0","9,142.5","8.06K","5.01%"
"Feb 04, 2020","9,159.4","9,288.1","9,348.6","9,075.0","4.87K","-1.39%"
"Feb 03, 2020","9,288.1","9,329.4","9,610.5","9,211.9","4.76K","-0.37%"
"Feb 02, 2020","9,322.5","9,379.6","9,472.3","9,135.0","3.02K","-0.58%"
"Feb 01, 2020","9,377.2","9,327.8","9,462.6","9,280.3","1.67K","0.41%"
"Jan 31, 2020","9,339.3","9,510.7","9,529.3","9,195.9","5.01K","-1.80%"
"Jan 30, 2020","9,510.7","9,289.2","9,569.6","9,177.8","7.94K","2.48%"
"Jan 29, 2020","9,280.8","9,389.2","9,439.0","9,220.5","6.55K","-1.27%"
"Jan 28, 2020","9,400.0","8,894.5","9,413.2","8,887.4","9.48K","5.68%"
"Jan 27, 2020","8,894.6","8,590.5","9,004.3","8,554.8","9.62K","3.54%"
"Jan 26, 2020","8,590.5","8,329.5","8,599.7","8,276.2","6.34K","3.13%"
"Jan 25, 2020","8,329.5","8,422.2","8,437.5","8,252.7","2.81K","-1.10%"
"Jan 24, 2020","8,422.2","8,378.4","8,516.2","8,212.9","6.43K","0.48%"
"Jan 23, 2020","8,382.1","8,655.9","8,666.0","8,280.0","8.61K","-3.16%"
"Jan 22, 2020","8,655.9","8,717.9","8,793.0","8,567.7","3.14K","-0.71%"
"Jan 21, 2020","8,717.9","8,625.2","8,770.0","8,480.0","3.39K","1.07%"
"Jan 20, 2020","8,625.2","8,696.6","8,740.5","8,508.0","4.42K","-0.82%"
"Jan 19, 2020","8,696.6","8,908.5","9,188.1","8,461.4","8.79K","-2.40%"
"Jan 18, 2020","8,910.0","8,892.6","9,000.1","8,800.0","3.68K","0.15%"
"Jan 17, 2020","8,896.6","8,710.2","9,015.2","8,661.5","9.36K","2.14%"
"Jan 16, 2020","8,710.2","8,806.7","8,852.3","8,575.0","6.71K","-1.11%"
"Jan 15, 2020","8,807.6","8,813.0","8,902.0","8,555.0","8.61K","-0.23%"
"Jan 14, 2020","8,827.6","8,105.0","8,895.0","8,105.0","17.01K","8.92%"
"Jan 13, 2020","8,105.0","8,180.8","8,196.8","8,039.0","4.01K","-0.93%"
"Jan 12, 2020","8,180.8","8,016.2","8,190.0","7,960.0","2.06K","2.03%"
"Jan 11, 2020","8,018.1","8,191.1","8,286.0","8,000.0","3.79K","-2.11%"
"Jan 10, 2020","8,191.1","7,806.8","8,198.0","7,667.0","8.99K","4.92%"
"Jan 09, 2020","7,806.8","8,044.4","8,048.9","7,739.9","5.96K","-2.95%"
"Jan 08, 2020","8,044.4","8,159.0","8,463.6","7,872.1","11.91K","-1.40%"
"Jan 07, 2020","8,159.0","7,762.7","8,211.6","7,700.0","12.16K","5.10%"
"Jan 06, 2020","7,762.7","7,356.7","7,813.6","7,342.5","6.73K","5.52%"
"Jan 05, 2020","7,356.7","7,344.5","7,495.0","7,310.0","2.71K","0.17%"
"Jan 04, 2020","7,344.5","7,334.6","7,396.1","7,256.0","3.26K","0.13%"
"Jan 03, 2020","7,334.6","6,950.6","7,402.3","6,853.5","8.07K","5.53%"
"Jan 02, 2020","6,950.6","7,178.7","7,184.9","6,900.0","3.97K","-3.18%"
"Jan 01, 2020","7,178.7","7,168.4","7,237.4","7,150.0","1.12K","0.10%"
"Dec 31, 2019","7,171.2","7,220.2","7,300.9","7,112.5","2.64K","-0.68%"
"Dec 30, 2019","7,220.2","7,385.5","7,385.5","7,200.0","3.72K","-2.24%"
"Dec 29, 2019","7,385.5","7,297.4","7,524.5","7,274.4","2.58K","1.22%"
"Dec 28, 2019","7,296.2","7,246.0","7,349.6","7,231.0","1.58K","0.67%"
"Dec 27, 2019","7,247.7","7,195.2","7,255.4","7,060.0","4.02K","0.83%"
"Dec 26, 2019","7,188.3","7,195.8","7,428.2","7,150.0","3.12K","-0.10%"
"Dec 25, 2019","7,195.8","7,251.5","7,266.8","7,112.9","1.50K","-0.77%"
"Dec 24, 2019","7,251.5","7,316.2","7,431.1","7,156.0","4.19K","-0.88%"
"Dec 23, 2019","7,316.2","7,509.7","7,693.0","7,250.0","6.71K","-2.58%"
"Dec 22, 2019","7,509.7","7,147.4","7,523.7","7,124.5","3.80K","5.07%"
"Dec 21, 2019","7,147.4","7,194.1","7,194.1","7,113.1","1.70K","-0.65%"
"Dec 20, 2019","7,194.1","7,149.6","7,216.9","7,072.6","3.19K","0.65%"
"Dec 19, 2019","7,147.4","7,286.9","7,372.1","7,000.0","5.94K","-1.89%"
"Dec 18, 2019","7,285.1","6,612.3","7,442.6","6,429.2","12.87K","10.07%"
"Dec 17, 2019","6,618.6","6,882.2","6,938.8","6,550.0","7.11K","-3.69%"
"Dec 16, 2019","6,872.3","7,108.2","7,144.9","6,820.0","5.92K","-3.32%"
"Dec 15, 2019","7,108.2","7,059.0","7,212.1","7,007.3","1.85K","0.70%"
"Dec 14, 2019","7,059.0","7,257.5","7,269.0","7,008.5","2.01K","-2.73%"
"Dec 13, 2019","7,257.5","7,188.4","7,302.4","7,179.6","3.18K","0.96%"
"Dec 12, 2019","7,188.4","7,207.4","7,296.2","7,072.2","4.38K","-0.26%"
"Dec 11, 2019","7,207.4","7,216.1","7,271.0","7,122.8","3.42K","-0.12%"
"Dec 10, 2019","7,216.1","7,340.5","7,400.0","7,150.2","4.09K","-1.71%"
"Dec 09, 2019","7,341.5","7,524.3","7,650.1","7,279.0","6.58K","-2.43%"
"Dec 08, 2019","7,524.3","7,502.6","7,576.7","7,388.0","1.80K","0.29%"
"Dec 07, 2019","7,502.6","7,533.6","7,638.9","7,486.7","2.03K","-0.52%"
"Dec 06, 2019","7,541.8","7,398.8","7,619.0","7,308.7","4.17K","2.05%"
"Dec 05, 2019","7,390.4","7,197.8","7,500.0","7,151.5","4.64K","2.68%"
"Dec 04, 2019","7,197.8","7,300.4","7,764.9","7,088.0","7.74K","-1.41%"
"Dec 03, 2019","7,300.4","7,309.6","7,415.0","7,238.0","2.55K","-0.13%"
"Dec 02, 2019","7,309.6","7,412.7","7,431.1","7,150.0","4.32K","-1.39%"
"Dec 01, 2019","7,412.7","7,550.7","7,560.2","7,235.0","5.48K","-1.83%"
"Nov 30, 2019","7,551.2","7,753.7","7,815.0","7,452.1","5.45K","-2.72%"
"Nov 29, 2019","7,762.2","7,436.7","7,869.0","7,412.4","7.66K","4.38%"
"Nov 28, 2019","7,436.7","7,527.8","7,659.9","7,372.7","6.93K","-1.21%"
"Nov 27, 2019","7,527.8","7,159.2","7,673.0","6,848.2","15.16K","5.15%"
"Nov 26, 2019","7,159.2","7,122.1","7,344.9","7,019.3","7.64K","0.52%"
"Nov 25, 2019","7,122.5","6,900.9","7,379.8","6,515.0","18.72K","3.10%"
"Nov 24, 2019","6,908.4","7,320.4","7,347.5","6,862.0","6.05K","-5.63%"
